,idx,airspeed,wing_angle,cmd_af,roll_eff,pitch_eff,yaw_eff
0,0,2.842861212607921,0.34909232929565637,[5997.5673635  6131.18294504 6174.92005906 6033.35936351],-0.00031315480179439374,0.0010983811520365525,-0.00033212955673220994
1,0,3.0032322948050854,0.3490939141672191,[5866.27173777 6177.94559078 6126.6933232  6102.97788403],-0.0001759003085398529,0.0010741383642846366,-0.00035424164386675514
2,0,2.937796238841536,0.34909299477281,[5905.09025117 6182.48142792 6152.51893853 6025.326812  ],-0.000486771284914827,0.0011353809682152236,-0.0003116713027456925
3,0,2.7429227549688204,0.34909340914775483,[6354.0400434  6104.09651598 6218.22138445 6017.49819389],-0.0008318854038939102,0.0012270287950187561,-0.0002786197644784982
4,0,2.60773516989619,0.34909321434649004,[6014.44334115 6201.18755745 5945.63897306 6162.41472154],-0.006152712765483611,0.0021382043648789212,-0.00012858713070507789
5,1,2.7145773696063094,0.34909381169950177,[6115.29419363 6230.8969741  6189.48376681 6108.36690759],-0.007865422034317773,0.0011544508138434917,0.00023529611846442373
6,1,2.620272931023025,0.34909465396161804,[6117.94702636 6126.98853886 6204.16821719 5958.34426226],-0.007559894059739185,0.0011132004667371849,0.0002629458753259766
7,1,2.7611529094053164,0.34909401100484216,[6143.72269409 6183.15413084 6078.57246517 6011.72312865],-0.007408298622046533,0.0009640613053537079,0.0003579422766156552
8,1,2.9572694817030345,0.3490940014336818,[6003.85236643 6281.15680269 5877.78980192 6128.91621989],-0.007593437909145201,0.0006238036250826153,0.0009069446487612259
9,2,2.8543276665368844,0.34909351499352886,[6100.38905132 6179.62587433 6032.99716858 6096.25468102],0.0005427904216381306,-0.001078259018274597,-0.00031153625850101655
10,2,2.8887460316174804,0.34909330330198085,[5971.48352576 6292.54225448 5964.75819965 6065.2541106 ],0.00035715651300359384,-0.0009764065943245618,-0.00030798720667107437
11,2,3.0683973100353974,0.3490926738574312,[6352.0983004  6311.83842686 5872.06587685 6214.99965618],-1.0263609131974195e-05,-0.0010421757848120311,-0.0003552633605133896
12,2,3.0585321986890666,0.3490937993132941,[6125.69615141 6173.31522672 6126.95176893 5999.97403197],0.0075292782354642925,-0.0027013667849947343,-0.00031627853308300284
13,3,2.49829724333942,0.34909407800296505,[6063.64782975 6308.42464114 6138.11389077 6192.62391718],0.007624692666402703,-0.0011761099380050131,0.0002670875393051007
14,3,2.3900277882312833,0.349092931715753,[6160.13047645 6192.76790008 6240.99430342 6005.75341251],0.00715651523465536,-0.001093808685141541,0.00028482936366685873
15,3,2.766436299190933,0.34909303530948926,[6318.1968799  6201.54941712 6344.16490653 6033.31170506],0.0074407190889706366,-0.0010608912690802349,0.0002983097258536214
16,3,2.5668669868806147,0.5235985481424867,[6515.64260083 6004.04166572 6720.41670953 5848.9023756 ],0.0054680130124696,-0.0012545076606873481,0.0008277844436567261
17,0,2.8579538534846978,0.5235987778503365,[6303.98958794 6292.64870299 6436.84599003 6104.27681449],-0.00029821296374637666,0.001046608536322652,-0.00025612268153864183
18,0,2.862244226884735,0.5235980059643996,[6336.17962409 6172.28772631 6620.77346199 5901.569905  ],-0.0003341961822098961,0.0011344863439517563,-0.00021114594057697764
19,0,2.7557263089986477,0.5235985216810434,[6227.78708467 6155.37656404 6514.69277376 6043.90446768],-0.0006040950188161987,0.0011728820753730143,-0.0002747437162460402
20,0,2.0452278189879918,0.5235984805813544,[6566.16047285 6100.07502248 6474.14251085 6066.08237998],-0.005856917461086682,0.0026996560814637727,-0.0005896797897112526
21,1,2.533693239507458,0.5235981895054758,[6395.41615498 6308.91814616 6451.87865624 6205.19536148],-0.0060116077664350166,0.0012060669056534758,0.0001815973236481694
22,1,2.9446209125707186,0.5235975274063789,[6350.42090741 6226.07632376 6582.94406011 6037.33169359],-0.0058431747705799866,0.0011485504510222828,0.00015686150010204252
23,1,2.8942006413924246,0.5235977199556062,[6342.60804068 6236.57766265 6503.78870803 6122.90464164],-0.006063657868164778,0.0010586926660610123,0.0003238263601810933
24,1,2.011822854358178,0.5235983128045425,[6436.58895517 6077.72521614 6506.41166282 5884.76071894],-0.007786591202524423,0.0012598748453864993,0.0009847893908166518
